zip_id,zip,city,state
207,92223,Beaumont,California
208,77701,Beaumont,Texas
209,97004,Beavercreek,Ohio
210,1798,Beavercreek Township,Ohio
211,1798,Beaveroton,Oregon
212,97003,Beaverton,Oregon
213,47421,Bedford,Indiana
214,1730,Bedford,Massachusetts
215,3110,Bedford,New Hampshire
216,76021,Bedford,Texas
217,24523,Bedford,Virginia
218,1798,Bedford Heights,Ohio
219,7921,Bedminster,New Jersey
220,1798,Bee Cave,Texas
221,1798,Bee Caves,Texas
222,1798,Beechwood,Ohio
223,21014,Bel Air,Maryland
224,1798,Bel Aire,Kansas
225,77401,Bellaire,Texas
226,33430,Belle Glade,Florida
227,8502,Belle Mead,New Jersey
228,1798,Bellemead,New Jersey
229,11426,Bellerose,New York
230,1798,Bellerose Terrace,New York
231,48111,Belleville,Michigan
232,7109,Belleville,New Jersey
233,68005,Bellevue,Nebraska
234,41073,Bellevue,Tennessee
235,41073,Bellevue,Unkown
236,98004,Bellevue,Washington
237,90706,Bellflower,California
238,2019,Bellingham,Massachusetts
239,98225,Bellingham,Washington
240,8031,Bellmawr,New Jersey
241,1798,Bellrose,New York
242,80512,Bellvue,Washington
243,94002,Belmont,California
244,2478,Belmont,Massachusetts
245,49306,Belmont,Michigan
246,3220,Belmont,New Hampshire
247,43718,Belmont,Ohio
248,53511,Beloit,Wisconsin
249,20704,Beltsville,Maryland
250,94920,Belvedere Tiburon,California
251,61008,Belvidere,Illinois
252,56601,Bemidji,Minnesota
253,97701,Bend,Oregon
254,94510,Benicia,California
255,1798,Benronville,Arkansas
256,19020,Bensalem,Pennsylvania
257,60105,Bensenville,Illinois
258,49022,Benton Harbor,Michigan
259,72712,Bentonville,Arkansas
260,7621,Bergenfield,New Jersey
261,94701,Berkeley,California
262,7922,Berkeley Heights,New Jersey
263,48072,Berkley,Michigan
264,1798,Berkley Heights,New Jersey
265,7924,Bernardsville,New Jersey
266,49103,Berrien Springs,Michigan
267,60402,Berwyn,Illinois
268,1798,Berwyn Heights,Maryland
269,73008,Bethany,Oklahoma
270,6801,Bethel,Connecticut
271,63434,Bethel,Missouri
272,15102,Bethel Park,Pennsylvania
273,20810,Bethesda,Maryland
274,18015,Bethlehem,Pennsylvania
275,11714,Bethpage,New York
276,52722,Bettendorf,Iowa
277,45715,Beverly,Ohio
278,90209,Beverly Hills,California
279,34464,Beverly Hills,Michigan
